rally_uid,actionId,pointId,serverGetPoint
1239,3,8,0
1241,7,6,0
1242,3,7,1
1252,6,9,0
1260,10,5,0
1261,8,6,1
1269,6,9,0
1284,5,8,1
1292,13,4,1
1295,4,7,0
1300,5,8,1
1308,9,8,1
1310,1,9,1
1323,1,7,1
1331,13,9,1
1333,5,8,0
1336,1,7,1
1337,8,5,1
1348,6,9,0
1354,10,5,0
1360,7,9,1
1370,1,8,1
1374,6,8,1
1396,13,8,1
1403,1,8,1
1405,10,6,1
1418,6,9,0
1436,5,9,1
1443,2,8,0
1451,5,8,0
1465,10,5,1
1467,10,5,1
1470,13,2,1
1473,11,2,0
1478,10,2,0
1482,10,7,1
1487,10,5,1
1490,10,5,0
1491,3,9,0
1493,11,5,1
1498,1,5,0
1500,3,7,0
1507,5,7,1
1510,12,5,1
1511,10,5,1
1514,1,5,0
1527,11,5,0
1533,10,6,0
1549,10,9,0
1556,1,9,1
1564,4,9,0
1570,1,9,0
1573,10,8,0
1574,1,9,1
1582,5,9,0
1583,5,6,0
1597,5,8,0
1600,5,8,0
1605,5,9,1
1612,11,3,1
1618,5,8,1
1630,10,4,0
1636,1,9,1
1638,1,7,1
1649,10,8,1
1659,10,8,0
1666,5,7,0
1679,10,6,1
1684,10,7,1
1692,10,9,1
1704,12,5,1
1705,1,9,1
1709,10,9,0
1711,1,9,1
1715,1,9,0
1719,10,6,0
1722,12,4,1
1727,1,9,1
1730,10,7,1
1742,13,5,0
1744,4,9,1
1747,10,4,1
1757,10,8,0
1761,4,9,0
1790,1,9,1
1792,13,9,0
1807,1,9,1
1810,10,7,1
1812,4,9,1
1820,10,6,0
1821,5,9,0
1826,6,9,1
1840,6,9,1
1843,6,9,1
1856,6,9,1
1858,1,9,1
1864,4,7,0
1870,5,7,1
1877,6,9,1
1878,1,9,0
1880,2,9,0
1883,10,5,0
1901,14,8,1
1903,4,8,1
1904,11,1,1
1908,11,1,0
1926,3,7,1
1929,1,9,1
1931,13,7,1
1938,4,7,0
1940,11,2,0
1943,14,9,1
1948,14,8,1
1957,11,2,1
1959,1,9,0
1961,1,6,0
1971,1,9,1
1990,13,8,1
1992,7,9,0
2004,10,6,0
2015,1,9,1
2023,13,9,0
2027,2,8,0
2047,2,6,1
2048,5,8,1
2051,13,4,0
2052,10,6,0
2056,6,7,0
2058,10,8,0
2064,6,5,1
2073,2,8,0
2087,10,5,1
2088,2,8,0
2101,2,7,1
2113,10,5,0
2115,2,8,0
2117,2,5,1
2127,2,8,0
2128,10,4,1
2131,13,9,0
2138,13,8,0
2139,2,5,1
2149,1,6,0
2156,2,6,0
2163,2,9,0
2173,4,9,0
2184,1,8,0
2187,6,8,0
2191,5,8,0
2199,10,9,1
2204,1,9,1
2209,13,9,0
2216,5,7,1
2219,11,2,0
2238,1,8,0
2258,10,8,1
2264,6,9,1
2268,6,9,1
2283,2,9,1
2287,11,1,1
2300,10,9,0
2307,4,9,1
2312,7,9,0
2342,2,9,0
2349,5,8,1
2353,1,7,0
2358,6,9,1
2361,11,5,0
2363,4,9,0
2369,2,7,0
2373,6,7,0
2397,11,3,1
2400,13,8,0
2404,1,7,0
2417,2,9,1
2422,2,7,1
2429,2,9,1
2457,1,7,1
2468,10,9,0
2469,2,8,0
2481,2,8,0
2482,1,7,1
2487,6,8,0
2498,6,9,1
2520,3,8,1
2531,5,8,0
2537,13,5,0
2541,10,8,0
2557,6,7,0
2565,5,7,1
2568,10,5,1
2589,6,8,1
2594,4,8,0
2611,2,9,1
2628,6,5,0
2629,1,7,1
2648,10,3,0
2650,3,7,0
2653,10,6,1
2654,10,4,0
2660,10,6,0
2661,6,9,1
2662,12,6,1
2665,1,9,1
2677,12,6,0
2679,10,9,0
2680,1,9,1
2682,12,6,0
2684,10,8,0
2685,10,5,1
2686,10,6,1
2689,1,6,1
2694,12,9,1
2699,1,8,0
2716,8,8,0
2722,2,7,1
2731,11,1,0
2748,10,9,1
2759,1,7,1
2770,12,8,1
2791,1,9,0
2799,1,8,1
2807,6,7,1
2820,7,8,1
2837,5,8,0
2857,1,7,1
2859,1,9,0
2865,1,8,0
2870,13,9,0
2871,13,6,0
2888,13,8,1
2890,2,5,1
2891,6,9,0
2893,1,9,1
2903,4,9,0
2909,1,9,0
2933,13,9,0
2938,12,6,0
2946,3,7,1
2954,12,5,1
2955,12,6,0
2962,12,2,1
2964,11,7,1
2970,5,9,0
2976,6,4,0
2979,12,7,0
2986,10,4,1
2987,10,6,1
2988,10,6,1
2989,12,6,0
2991,12,4,1
2993,10,4,1
2994,12,6,0
2997,1,8,0
3003,2,7,0
3004,1,8,1
3008,12,4,0
3010,10,4,0
3013,12,4,1
3015,1,5,0
3016,3,8,1
3017,12,6,0
3026,12,7,1
3030,1,9,0
3032,12,4,0
3035,12,4,1
3041,12,5,0
3042,10,5,0
3044,10,6,0
3046,12,4,1
3047,4,4,1
3086,5,7,1
3090,1,5,0
3098,5,9,1
3109,1,9,0
3111,4,9,1
3130,1,8,0
3165,13,9,1
3171,13,7,1
3175,7,9,1
3184,13,8,0
3191,10,1,0
3206,13,9,1
3207,13,8,0
3219,13,8,0
3230,1,9,0
3240,10,9,1
3254,6,9,0
3271,3,7,0
3272,1,9,0
3276,6,7,0
3280,12,3,0
3281,1,8,0
3282,3,4,0
3297,6,7,0
3299,10,5,1
3312,1,7,1
3314,5,7,0
3325,10,9,1
3358,5,9,0
3362,9,7,1
3367,10,6,1
3372,9,7,0
3377,10,8,1
3380,5,9,0
3397,10,9,0
3414,1,7,1
3416,1,8,0
3421,1,8,1
3428,2,7,0
3438,1,7,0
3441,1,9,1
3454,2,9,0
3459,1,8,1
3500,13,5,1
3530,7,7,0
3541,10,5,1
3544,1,6,1
3552,10,6,1
3553,10,5,0
3554,10,5,1
3557,10,4,1
3560,10,7,0
3568,5,9,1
3570,6,9,1
3578,7,7,1
3618,11,5,1
3625,13,8,1
3632,10,5,0
3634,4,6,0
3648,5,8,1
3657,1,5,0
3709,11,5,1
3716,1,7,1
3734,11,2,1
3747,6,9,0
3781,1,9,1
3787,4,9,1
3806,1,7,0
3808,10,9,1
3812,5,9,1
3821,6,9,1
3833,11,2,0
3852,7,7,0
3854,4,7,1
3859,11,3,1
3867,11,2,1
3870,2,7,0
3871,1,7,0
3872,4,9,0
3891,10,9,0
3892,6,8,1
3902,5,9,0
3912,2,5,0
3913,10,2,1
3925,2,5,0
3928,2,5,1
3935,10,9,0
3939,2,9,0
3962,2,5,1
3963,6,7,1
3982,4,7,1
3984,4,9,1
3990,1,9,0
3991,13,9,0
4015,1,8,0
4034,5,8,0
4038,6,8,1
4046,6,8,1
4050,10,5,0
4068,11,2,1
4072,6,9,0
4082,10,8,0
4086,10,9,0
4106,11,2,0
4112,13,9,1
4120,5,9,1
4135,6,8,0
4141,1,8,0
4165,6,9,0
4168,1,7,0
4173,1,7,1
4178,10,7,0
4181,1,8,0
4182,10,9,0
4199,10,8,0
4205,9,8,1
4233,1,9,1
4234,1,4,1
4240,10,1,1
4248,11,2,0
4257,1,9,0
4262,1,2,1
4281,10,3,1
4282,5,9,1
4302,3,8,1
4332,5,8,0
4341,5,9,1
4344,10,5,1
4355,5,8,1
4356,4,8,1
4374,6,7,1
4387,6,7,0
4406,1,9,0
4414,10,7,0
4430,10,9,1
4441,10,4,0
4443,5,7,0
4447,13,4,1
4459,12,8,1
4470,9,6,0
4473,9,1,0
4474,12,4,1
4476,12,5,0
4482,12,4,1
4486,9,6,0
4498,3,7,0
4499,1,9,0
4505,1,9,1
4509,10,5,0
4516,1,8,1
4522,10,9,1
4533,12,6,0
4539,10,9,1
4542,10,9,1
4545,1,8,1
4559,1,8,1
4560,10,6,0
4574,10,5,1
4576,12,1,1
4577,1,9,0
4578,10,5,1
4584,12,4,1
4591,10,5,1
4593,12,7,0
4595,12,9,1
4597,1,5,0
4604,10,6,0
4619,12,8,1
4620,1,9,0
4630,12,9,0
4636,1,8,0
4653,10,8,1
4667,10,8,0
4683,2,9,1
4690,1,7,1
4694,6,8,0
4710,6,5,0
4726,10,9,1
4731,10,8,0
4736,10,8,1
4745,1,9,0
4758,1,8,1
4761,3,9,0
4768,10,4,1
4773,1,9,1
4775,3,9,1
4784,9,7,1
4791,2,7,0
4797,1,9,1
4805,11,2,0
4828,6,8,1
4830,1,7,1
4846,4,8,1
4864,6,7,0
4873,6,9,1
4888,1,8,1
4889,10,5,0
4898,1,7,0
4900,13,9,0
4923,13,8,0
4929,13,9,1
4945,6,8,0
4950,13,9,1
4951,13,9,1
4978,2,8,1
4988,1,7,1
4994,6,9,1
5001,6,9,0
5010,6,9,1
5014,10,8,1
5015,6,9,1
5017,6,9,0
5018,13,8,0
5026,1,7,1
5027,1,7,1
5036,5,8,1
5051,5,8,1
5054,5,6,1
5058,3,7,0
5060,6,9,0
5064,5,9,0
5071,10,9,0
5090,1,9,1
5092,1,8,0
5098,6,9,1
5099,1,9,1
5111,10,8,1
5125,6,9,1
5160,1,9,0
5164,1,9,0
5168,9,6,1
5169,4,9,1
5181,1,9,0
5196,1,8,1
5197,10,6,0
5208,10,9,1
5217,3,7,1
5220,12,9,1
5230,12,9,0
5245,12,8,0
5254,12,6,0
5259,1,9,1
5263,1,8,0
5270,3,8,1
5275,1,8,0
5277,1,6,1
5282,3,7,1
5286,11,2,1
5289,9,6,1
5295,1,9,0
5304,10,9,1
5308,12,9,0
5314,12,5,1
5316,12,6,1
5319,6,9,1
5322,10,8,0
5330,1,8,0
5331,12,5,1
5333,11,2,1
5336,1,9,1
5337,6,8,1
5338,12,2,1
5351,12,8,1
5357,3,9,1
5369,1,9,1
5371,6,9,1
5383,11,2,1
5391,1,9,0
5401,13,7,1
5438,6,9,1
5445,13,5,1
5449,13,9,1
5451,1,7,0
5464,6,9,0
5471,13,9,0
5476,13,8,0
5482,4,6,0
5494,3,5,0
5500,1,9,1
5558,13,8,0
5568,10,5,1
5570,7,8,0
5607,2,7,1
5618,1,8,0
5657,11,1,1
5670,6,8,0
5688,6,9,1
5693,11,5,1
5698,13,9,1
5724,11,1,0
5725,1,9,1
5726,12,5,0
5733,11,1,1
5740,10,4,0
5747,13,9,0
5751,12,4,1
5759,12,9,0
5762,10,8,1
5768,10,8,0
5770,10,4,0
5772,10,6,0
5776,3,7,1
5790,10,5,1
5794,10,4,1
5799,5,4,0
5802,10,6,0
5804,10,4,0
5807,12,9,1
5814,10,8,0
5816,10,7,1
5818,1,7,0
5820,10,6,0
5833,10,4,1
5836,10,3,0
5837,11,2,1
5841,10,5,1
5880,10,5,1
5897,1,8,0
5898,14,5,1
5914,11,5,1
5917,1,9,1
5922,11,2,1
5927,1,7,1
5928,1,9,1
5938,1,9,0
5944,1,8,1
5959,13,9,0
5961,4,9,0
5973,1,6,0
5982,10,4,1
5990,12,8,0
6017,12,9,1
6025,6,7,1
6034,10,7,1
6039,10,4,0
6046,9,4,1
6047,1,9,0
6052,13,8,1
6053,10,6,1
6062,12,4,0
6068,3,9,1
6077,12,5,0
6084,10,6,1
6087,1,6,1
6088,3,7,0
6093,10,9,1
6101,11,2,1
6103,13,8,1
6116,13,8,0
6132,7,8,0
6143,10,8,1
6150,7,7,1
6163,1,8,1
6174,1,7,1
6176,2,7,0
6181,5,4,0
6187,13,9,1
6191,1,9,1
6203,13,8,1
6224,2,9,0
6244,6,9,0
6245,1,9,1
6248,2,7,1
6249,6,9,1
6268,10,8,0
6288,13,9,0
6305,2,7,0
6307,10,5,0
6316,1,9,0
6318,3,8,0
6337,1,9,0
6345,10,4,1
6353,1,8,1
6361,10,9,1
6364,1,7,1
6365,3,8,0
6370,12,4,1
6398,3,7,1
6402,2,8,1
6403,1,4,0
6406,12,9,1
6407,12,7,0
6421,8,6,0
6422,11,8,1
6434,1,7,1
6437,10,4,1
6445,10,6,1
6458,1,9,0
6459,10,8,0
6463,10,8,1
6478,10,4,1
6480,10,8,0
6484,1,9,1
6486,1,7,0
6492,10,5,0
6502,5,9,0
6507,4,8,0
6514,1,7,1
6517,4,7,0
6520,4,9,0
6532,4,8,0
6535,1,7,1
6544,10,6,0
6548,4,8,1
6553,1,7,0
6561,1,9,0
6565,1,8,1
6567,1,8,1
6576,10,7,0
6586,11,7,1
6588,5,9,0
6590,13,7,1
6594,1,5,0
6600,1,7,0
6602,2,9,0
6608,6,9,0
6632,6,8,1
6639,7,8,1
6641,7,5,1
6658,10,9,1
6659,10,8,1
6674,4,8,0
6689,10,5,0
6690,1,9,0
6695,11,5,1
6697,10,9,1
6712,11,2,1
6742,1,9,0
6750,11,5,1
6757,1,7,0
6758,1,8,0
6761,11,2,0
6770,1,7,0
6783,1,0,1
6791,10,8,1
6797,1,7,1
6808,1,9,0
6826,13,9,1
6827,11,5,0
6843,1,9,0
6848,13,9,0
6849,10,6,1
6857,10,4,0
6859,2,9,1
6866,13,7,0
6891,1,9,0
6892,10,9,1
6893,13,9,1
6899,10,4,1
6916,1,9,0
6923,4,9,0
6928,5,9,0
6935,13,7,1
6950,1,9,1
6961,1,9,1
6975,1,7,1
6976,11,2,1
6992,11,4,1
7005,1,8,1
7008,1,9,0
7011,13,8,0
7060,13,9,1
7069,13,9,0
7070,10,9,0
7099,2,9,0
7108,13,9,0
7129,7,9,1
7132,10,9,0
7147,4,9,0
7150,11,2,1
7176,2,8,0
7184,9,7,1
7203,2,8,1
7211,1,7,0
7253,5,9,0
7260,1,9,0
7266,5,9,1
7271,10,9,0
7277,1,9,1
7297,3,7,1
7302,10,9,1
7314,6,4,0
7345,1,8,1
7366,2,7,0
7367,2,9,1
7369,2,5,1
7385,2,9,1
7394,2,5,1
7409,11,2,0
7420,6,9,1
7423,10,8,0
7425,13,5,1
7427,11,1,0
7429,1,9,1
7440,2,8,1
7449,1,9,0
7458,13,7,1
7470,6,8,1
7483,1,7,0
7512,1,9,1
7513,1,9,0
7525,13,8,1
7548,12,9,0
7552,12,8,1
7554,1,9,0
7558,13,7,1
7563,4,7,1
7566,1,7,1
7582,10,9,0
7584,14,9,0
7595,2,9,1
7627,2,8,1
7635,2,9,0
7642,5,9,1
7644,13,9,1
7645,2,7,1
7653,5,9,0
7677,6,8,0
7678,11,5,0
7697,11,2,1
7713,2,9,0
7721,13,9,0
7739,4,7,0
7742,2,9,0
7749,1,7,0
7754,1,9,1
7755,6,9,0
7761,1,8,0
7766,5,7,0
7788,13,8,0
7791,1,8,1
7795,5,8,0
7802,1,9,0
7804,6,7,0
7808,10,7,1
7818,5,9,0
7824,5,9,1
7832,1,9,0
7833,10,9,1
7835,11,1,0
7840,6,9,1
7848,11,2,0
7851,1,5,1
7857,10,8,1
7859,1,7,0
7863,11,5,0
7870,5,9,1
7873,5,9,1
7895,10,9,0
7902,6,9,0
7907,10,9,1
7912,1,9,1
7914,5,7,0
7919,10,5,1
7942,1,9,1
7948,5,9,1
7957,4,9,0
7970,10,5,1
7972,10,4,1
7997,10,8,0
8001,2,7,1
8004,14,7,0
8026,2,7,0
8027,11,4,0
8031,1,9,0
8044,1,9,0
8055,1,1,1
8061,10,6,0
8079,2,8,1
8084,10,8,1
8085,11,5,1
8086,4,5,1
8091,13,8,0
8092,11,4,0
8093,6,7,0
8099,13,5,0
8100,13,9,0
8110,2,7,0
8118,2,5,1
8129,2,8,0
8132,1,0,1
8141,10,6,0
8147,10,4,1
8160,11,4,1
8200,1,8,0
8217,4,8,1
8222,10,7,0
8230,1,8,0
8232,10,9,1
8234,1,9,1
8253,13,9,1
8255,4,5,0
8281,4,8,0
8287,4,9,0
8297,6,9,0
8298,11,2,1
8304,4,8,0
8329,5,9,0
8331,6,9,1
8348,1,9,0
8350,3,7,1
8354,1,9,1
8362,1,5,0
8371,2,5,0
8385,10,2,1
8388,13,2,1
8412,7,9,1
8414,6,7,0
8421,7,5,0
8426,10,2,1
8427,6,9,0
8428,6,6,1
8432,6,9,1
8443,6,8,1
8444,10,5,0
8445,7,5,0
8447,5,5,1
8456,11,2,1
8466,1,8,1
8472,11,2,0
8479,5,8,0
8480,1,8,1
8481,10,5,1
8483,1,9,0
8485,1,7,1
8488,11,5,0
8499,11,4,0
8513,4,8,0
8524,13,8,1
8535,1,4,1
8544,1,9,0
8556,10,6,1
8565,11,2,0
8575,1,5,0
8588,2,5,1
8596,1,9,1
8614,13,9,0
8630,9,8,0
8637,1,5,1
8638,1,5,0
8643,4,4,0
8648,13,4,1
8660,9,5,1
8670,9,6,0
8671,10,7,0
8676,13,9,1
8680,1,7,1
8707,13,8,0
8718,2,8,1
8721,6,8,1
8752,1,4,1
8771,10,7,1
8782,6,8,0
8795,6,7,1
8815,1,7,0
8831,6,8,0
8853,11,5,0
8858,12,4,1
8870,10,4,0
8882,5,8,0
8887,12,4,0
8894,10,9,0
8896,10,2,1
8897,12,5,0
8900,12,7,1
8905,10,5,1
8910,12,7,0
8914,10,5,1
8918,10,6,0
8923,10,7,1
8926,10,8,0
8937,12,8,1
8946,1,9,0
8947,1,9,1
8949,1,7,1
8951,6,9,1
8961,13,7,1
8982,1,8,1
8984,1,9,0
8997,13,9,0
8999,6,9,1
9008,3,8,1
9013,3,8,1
9017,6,9,0
9023,1,8,0
9053,1,8,1
9056,12,7,1
9063,5,9,0
9075,2,8,0
9090,5,9,0
9098,5,9,0
9103,11,2,0
9119,7,9,0
9120,1,7,0
9121,1,8,0
9122,1,8,0
9128,1,9,0
9138,2,7,1
9142,1,9,0
9160,6,7,1
9165,1,9,1
9170,1,8,1
9177,6,7,0
9179,7,9,1
9189,2,7,1
9211,10,9,1
9233,1,8,0
9237,4,8,1
9250,10,5,1
9251,8,8,1
9263,11,2,0
9270,11,1,0
9283,13,5,0
9292,11,1,1
9298,1,8,1
9299,11,5,0
9300,11,1,1
9317,1,8,0
9321,11,2,0
9323,10,9,1
9324,13,9,1
9332,11,5,1
9346,1,8,1
9349,4,8,0
9350,7,7,1
9364,1,7,1
9387,13,9,0
9391,1,8,0
9407,12,5,0
9419,4,4,1
9438,1,9,1
9440,1,9,1
9443,10,9,0
9453,1,8,0
9458,1,7,0
9460,1,7,1
9465,1,7,1
9483,12,7,1
9486,12,8,1
9496,12,6,0
9498,12,7,0
9499,10,5,0
9500,10,9,0
9509,1,9,0
9515,1,7,1
9527,3,8,1
9549,12,7,0
9564,13,0,0
9566,13,5,1
9583,1,8,0
9585,11,2,0
9588,1,7,1
9594,6,8,0
9608,1,9,0
9610,6,8,0
9613,10,8,0
9614,7,8,0
9629,1,8,1
9637,1,5,0
9645,1,7,0
9657,4,9,1
9660,13,9,1
9666,11,0,1
9674,7,5,1
9685,10,9,0
9702,5,7,1
9710,10,3,1
9714,6,5,0
9718,13,6,0
9724,2,2,1
9728,13,5,0
9730,2,9,0
9745,2,8,0
9776,6,5,0
9782,2,7,0
9786,10,5,1
9792,2,6,1
9797,10,2,0
9799,10,9,0
9816,4,8,0
9823,13,6,0
9830,10,6,1
9853,6,9,1
9854,6,7,1
9863,13,9,0
9866,10,9,1
9868,1,7,0
9870,10,9,0
9874,13,9,1
9876,1,5,0
9894,1,8,1
9914,2,0,1
9923,11,2,1
9944,11,2,0
9952,11,1,1
9977,11,6,1
10003,10,4,1
10016,4,7,1
10029,10,4,0
10031,7,8,0
10037,10,8,0
10046,1,9,1
10054,10,4,0
10062,11,1,1
10081,6,7,1
10111,4,9,0
10142,1,9,0
10148,10,9,1
10150,10,5,1
10153,2,9,0
10154,10,8,0
10175,11,5,1
10183,6,9,0
10215,4,8,0
10218,1,7,1
10225,4,8,1
10240,11,2,0
10252,4,9,1
10259,13,8,1
10261,1,4,1
10263,2,9,1
10266,13,9,0
10285,11,5,1
10290,6,8,1
10310,1,7,1
10312,4,8,0
10319,4,9,0
10321,13,7,0
10330,13,7,1
10338,4,9,0
10342,11,5,0
10348,10,8,0
10350,12,8,1
10351,1,9,1
10356,12,9,0
10357,6,9,0
10362,1,9,1
10367,1,9,1
10384,3,4,0
10400,12,6,1
10402,10,4,0
10407,12,7,1
10413,10,4,0
10414,9,9,1
10415,12,8,1
10417,12,5,0
10443,12,5,1
10453,12,9,1
10457,12,8,0
10459,12,7,1
10463,10,6,0
10473,12,4,1
10474,1,7,0
10476,10,6,1
10480,2,5,1
10490,10,3,1
10503,6,5,0
10504,2,5,0
10526,1,8,0
10542,10,9,0
10546,10,2,1
10550,13,9,0
10554,2,9,0
10561,1,9,1
10564,13,8,0
10565,7,7,1
10594,1,8,1
10601,2,8,1
10602,5,9,1
10609,4,9,1
10612,2,7,1
10622,4,9,0
10630,6,9,0
10638,4,7,0
10639,4,8,0
10642,5,9,0
10651,13,8,1
10658,2,7,0
10663,2,9,1
10665,1,9,1
10676,13,5,1
10678,1,5,1
10680,6,7,0
10686,1,8,1
10706,1,9,1
10721,4,9,1
10724,5,8,1
10733,3,9,1
10737,1,9,0
10739,4,9,0
10751,10,6,0
10772,5,8,0
10784,1,9,0
10787,3,8,0
10790,11,2,1
10837,1,9,1
10839,1,8,0
10851,1,9,1
10858,1,7,1
10875,1,4,0
10893,1,8,0
10895,6,8,1
10896,10,9,0
10899,11,2,1
10906,6,8,1
10908,1,8,0
10949,1,7,0
10952,1,9,0
10957,1,9,0
10985,5,8,1
10995,6,5,1
10997,1,7,1
11001,1,8,1
11009,1,9,1
11011,10,9,1
11013,1,5,1
11026,15,1,1
11053,12,7,1
11066,12,9,0
11082,10,0,1
11091,12,8,0
11095,12,9,0
11102,6,7,1
11126,1,7,1
11151,6,9,1
11162,1,8,1
11165,13,5,1
11172,1,8,1
11192,13,8,0
11201,1,8,0
11216,6,8,0
11228,13,8,0
11244,13,7,1
11246,10,9,0
11252,5,4,0
11263,1,7,0
11265,1,9,1
11268,1,8,1
11269,7,7,1
11272,1,9,0
11276,10,7,0
11284,10,8,1
11291,5,7,0
11307,5,8,0
11313,1,9,1
11322,1,9,0
11343,1,7,0
11351,13,7,1
11354,6,9,1
11377,2,0,1
11382,13,7,0
11392,11,2,0
11399,6,7,1
11402,2,8,0
11422,1,6,1
11440,1,9,0
11442,13,6,1
11446,13,8,1
11460,10,8,1
11467,4,8,1
11473,1,9,1
11477,1,9,1
11485,4,9,0
11495,10,6,1
11498,7,9,0
11507,13,8,0
11516,10,2,1
11524,1,8,0
11526,1,7,1
11528,2,7,1
11546,3,7,1
11560,2,9,0
11569,2,5,1
11590,1,9,0
11597,7,6,1
11612,6,9,1
11620,11,1,1
11629,3,7,1
11635,13,5,0
11646,7,8,1
11651,6,8,0
11652,6,9,1
11661,5,9,1
11674,4,7,1
11681,1,8,0
11682,7,9,0
11695,2,8,1
11696,2,8,0
11710,10,9,0
11720,10,9,1
11737,1,9,1
11744,1,9,1
11752,1,7,0
11769,7,9,0
11780,7,8,0
11814,2,8,0
11818,6,8,0
11838,2,5,0
11857,1,9,0
11871,12,8,1
11874,12,8,1
11881,12,5,1
11888,10,5,1
11891,12,7,1
11894,12,5,0
11896,12,9,1
11899,1,5,0
11900,12,9,1
11906,1,8,0
11914,12,5,1
11917,8,6,1
11920,12,5,0
11930,3,7,0
11932,11,4,0
11933,1,9,0
11936,10,5,1
11938,10,8,0
11947,9,9,0
11950,1,7,0
11951,3,7,0
11952,11,5,0
11954,10,7,1
11956,1,8,0
11961,1,7,1
11963,1,8,0
11965,9,8,1
11970,10,6,1
11982,2,7,0
11991,14,4,1
12016,6,5,1
12025,1,8,0
12030,5,8,1
12031,8,9,1
12038,1,4,0
12055,2,9,1
12064,10,5,1
12084,13,9,0
12086,4,9,1
12095,13,8,0
12100,2,9,1
12115,1,8,0
12116,10,5,1
12120,13,5,1
12138,10,5,1
12155,2,5,1
12166,13,8,1
12182,10,5,1
12190,2,5,0
12217,6,9,1
12226,2,7,1
12232,5,5,0
12233,6,5,1
12236,2,9,1
12244,6,8,0
12253,6,5,1
12264,13,7,1
12272,6,5,0
12275,6,4,1
12283,2,8,1
12304,2,8,0
12306,10,2,0
12326,10,4,0
12333,10,6,0
12334,10,7,0
12342,10,6,0
12361,13,9,1
12369,12,9,1
12370,1,9,0
12372,12,9,1
12374,10,8,1
12393,12,8,0
12396,10,6,1
12411,12,9,0
12417,10,9,1
12419,1,7,0
12437,13,8,0
12452,10,5,0
12470,1,7,0
12474,2,8,1
12478,1,9,1
12484,1,8,0
12487,12,8,0
12493,1,4,1
12494,1,9,1
12503,1,6,1
12508,1,9,1
12513,11,6,0
12536,12,6,0
12537,12,4,0
12538,12,4,1
12540,1,8,1
12543,1,9,0
12547,12,5,1
12549,5,9,0
12555,12,8,0
12559,1,6,1
12573,1,9,1
12578,10,6,1
12582,1,8,0
12585,13,8,1
12592,1,9,0
12593,11,2,0
12601,1,8,0
12602,13,8,1
12604,13,5,1
12607,6,9,1
12611,10,8,0
12613,1,9,0
12614,10,9,1
12618,7,9,1
12619,10,9,1
12628,1,9,1
12630,13,4,1
12672,10,4,0
12673,10,8,0
12676,2,9,1
12692,2,9,1
12702,1,9,1
12703,1,7,0
12708,13,9,0
12714,7,9,0
12728,3,9,0
12739,1,9,1
12767,12,4,0
12769,6,7,0
12773,10,6,1
12778,11,2,1
12793,1,9,1
12802,6,9,0
12812,1,9,0
12816,6,9,0
12817,10,8,1
12841,9,5,0
12848,3,8,0
12854,14,7,0
12855,10,6,0
12867,9,9,1
12870,12,8,1
12878,12,5,1
12884,9,8,0
12886,12,9,0
12888,10,6,0
12894,12,4,0
12898,12,7,1
12903,10,4,0
12912,10,9,0
12925,13,9,1
12932,13,9,1
12933,13,9,0
12935,1,4,1
12948,1,8,1
12952,10,8,0
12957,4,9,1
12960,2,9,1
12963,10,5,0
12972,10,1,0
12978,2,8,1
13001,2,9,1
13020,1,8,0
13040,2,5,0
13043,10,9,0
13049,2,5,1
13051,2,4,1
13056,10,2,0
13074,13,8,0
